AgeGrp,Sex,Genotype,Diet,Line,Ymaze.Distance_mean,Ymaze.Distance_sd,Ymaze.MeanSpeed_mean,Ymaze.MeanSpeed_sd,Ymaze.SponAlt_mean,Ymaze.SponAlt_sd,Ymaze.TotalArmEntries_mean,Ymaze.TotalArmEntries_sd,Ymaze.AltArmReturns_mean,Ymaze.AltArmReturns_sd,Ymaze.Percent.SponAlt_mean,Ymaze.Percent.SponAlt_sd,Ymaze.Percent.AltArmReturns_mean,Ymaze.Percent.AltArmReturns_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Male,Ntg,45% HFD,B6xBXD75,12.240611111111111,3.2011295642207465,0.025555555555555557,0.006775580914727987,16.555555555555557,5.282849300522034,27.38888888888889,7.45290222892981,6.333333333333333,4.588989379962844,65.5,12.61768133822301,24.22222222222222,13.811996301406447,56.77777777777778,6.467616667635546,1.8599999999999999,0.2122152070838635,18
2,Male,Ntg,45% HFD,B6xBXD77,13.203818181818182,3.509116109525285,0.027454545454545454,0.007346701707162608,17.545454545454547,6.231466025837647,30.818181818181817,7.175595967526146,8.045454545454545,2.9996392279465036,59.77272727272727,15.140396353187116,27.90909090909091,7.831007299490617,61,5.814595756329395,1.9986363636363635,0.1901702358801676,22
2,Male,Ntg,45% HFD,B6xBXD78,11.512,0.10889444430272825,0.024,0,14.5,4.949747468305833,26,1.4142135623730951,6.5,2.1213203435596424,60,16.97056274847714,27.5,10.606601717798213,63,0,2.07,0,2
2,Male,Ntg,45% HFD,B6xBXD83,11.3613,2.183443034340609,0.0237,0.00458946161273159,17.2,4.652107615173782,26.55,4.999736835179691,5.6,2.909150717088553,70,9.963089776506926,22.75,10.794126082955342,58.1,6.3652014480049415,1.9044999999999999,0.20765545856943948,20
2,Male,Ntg,45% HFD,B6xBXD87,12.02921052631579,3.4109286871425395,0.025,0.007118052168020874,16.36842105263158,6.5507465759067784,27.31578947368421,9.860429512726036,5.578947368421052,3.2543268543362083,64.94736842105263,10.875424304420015,21.894736842105264,7.148385496367579,57.89473684210526,5.915091215997202,1.8978947368421053,0.19589052916158217,19
2,Male,Ntg,45% HFD,B6xBXD99,13.0398125,2.0812200338183047,0.027125,0.004318564576337836,17.3125,4.142764777295472,30.625,4.978286184354344,7.9375,2.3514180118955172,60.5625,11.021002676707777,27.625,6.469157595854347,62.5625,8.56324510140091,2.05125,0.2796634882616368,16
2,Male,Ntg,45% HFD,B6xD2,12.235333333333333,4.088990920752943,0.025444444444444443,0.008383184226639528,15.777777777777779,6.778233135887585,27,9.233092656309694,7.777777777777778,2.6822461565718467,60.666666666666664,11.01135777277262,34.333333333333336,12.951833846988619,59.333333333333336,2.7838821814150108,1.9444444444444444,0.08833333333333321,9
2,Male,Ntg,45% HFD,B6xD2Gpnmb,13.445500000000001,3.518242340525546,0.0282,0.007360555534589612,18.3,7.10320741324337,29.9,7.430417963419764,6.9,3.0713731999438516,64.3,11.537860383200268,25.3,8.756584823878415,70.2,8.430104783848577,2.299,0.2777468871712757,10
2,Male,Ntg,6% Extruded,B6,14.700531250000001,3.264658084961785,0.030578125,0.006812231500460991,19.640625,4.735436110722027,34.71875,7.7017185260153624,9.53125,4.301969833046769,60.765625,9.812111381446133,28.5625,9.464847243000456,62.375,8.032671381539862,2.04453125,0.26329372630111,64
2,Male,Ntg,6% Extruded,B6xBXD100,8.80325,1.36352640238464,0.01825,0.002986078811194819,12.75,2.5,20.25,2.5,1,0.816496580927726,69.5,5.686240703077327,6,5.354126134736337,48,0,1.57,0,4
