AgeGrp,Sex,Genotype,Diet,Line,Weight_mean,Weight_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
2,Female,Ntg,6% Extruded,B6xBXD154,18.75,0.15556349186103965,86,0,2.82,0,2
2,Female,Ntg,6% Extruded,B6xBXD156,18.496666666666666,0.5669509091035425,86,0,2.82,0,3
2,Female,Ntg,6% Extruded,B6xBXD16,21.5,0.933380951166243,91,0,2.98,0,2
2,Female,Ntg,6% Extruded,B6xBXD160,21.235,2.5373542651089678,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xBXD161,21.706666666666667,1.2589784218431488,83,3.22490309931942,2.7199999999999998,0.10545141061171255,6
2,Female,Ntg,6% Extruded,B6xBXD169,18.8775,1.829815564476376,79,0,2.59,0,4
2,Female,Ntg,6% Extruded,B6xBXD19,21.06,1.0199999999999996,85.33333333333333,1.1547005383792515,2.7966666666666664,0.04041451884327371,3
2,Female,Ntg,6% Extruded,B6xBXD28,20.903333333333332,1.2818684279857528,86,0,2.82,0,6
2,Female,Ntg,6% Extruded,B6xBXD38,21.56875,0.9685989513578,82.5,3.7416573867739413,2.705,0.12294017127971521,8
2,Female,Ntg,6% Extruded,B6xBXD39,19.26,0.933380951166243,72,0,2.36,0,2
2,Female,Ntg,6% Extruded,B6xBXD50,18.643333333333334,1.3507898923716197,79,0,2.59,0,3
2,Female,Ntg,6% Extruded,B6xBXD55,21.97,1.8724849799130565,85.5,4.932882862316247,2.8024999999999998,0.16049402896473547,4
2,Female,Ntg,6% Extruded,B6xBXD60,22.1325,0.6883978985054118,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xBXD61,20.509999999999998,1.4669014963520903,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xBXD62,23.48,NA,86,NA,2.82,NA,1
2,Female,Ntg,6% Extruded,B6xBXD65,23.543333333333333,2.2149793076535347,86.33333333333333,0.5773502691896257,2.83,0.017320508075688915,3
2,Female,Ntg,6% Extruded,B6xBXD66,19.786666666666665,1.2947715371189366,86,0,2.82,0,3
2,Female,Ntg,6% Extruded,B6xBXD68,21.34,NA,86,NA,2.82,NA,1
2,Female,Ntg,6% Extruded,B6xBXD73,18.5,1.5216000350508228,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xBXD74,22.796,1.1875731556413698,87.2,3.5637059362410923,2.856,0.11674759098157016,5
2,Female,Ntg,6% Extruded,B6xBXD75,22.803333333333335,2.011624550788077,83.66666666666667,4.041451884327381,2.743333333333333,0.1327905619136139,3
2,Female,Ntg,6% Extruded,B6xBXD77,21.585,1.5202795795510762,86,0,2.82,0,2
2,Female,Ntg,6% Extruded,B6xBXD83,20.142500000000002,1.269681718647105,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xBXD87,20.46,0.4371498598878876,86,0,2.82,0,3
2,Female,Ntg,6% Extruded,B6xBXD99,21.895,0.9508066750572022,86,0,2.82,0,4
2,Female,Ntg,6% Extruded,B6xD2,19.34,0.8229216244576395,86,0,2.82,0,3
2,Male,5XFAD,45% HFD,B6xBXD113,34.63333333333333,3.2190267680361626,86,0,2.82,0,3
2,Male,5XFAD,45% HFD,B6xBXD12,24.505,0.722057246114646,84.25,3.5,2.7624999999999997,0.11499999999999999,4
2,Male,5XFAD,45% HFD,B6xBXD14,30.646666666666665,0.917678229737054,86,0,2.82,0,3
2,Male,5XFAD,45% HFD,B6xBXD152,29.3975,2.8394527054815804,85.5,1.7320508075688772,2.8,0.05773502691896263,4
2,Male,5XFAD,45% HFD,B6xBXD154,21.57,NA,91,NA,2.98,NA,1
2,Male,5XFAD,45% HFD,B6xBXD16,34.64,0.650538238691625,86,0,2.82,0,2
2,Male,5XFAD,45% HFD,B6xBXD161,28.494999999999997,2.029396462005392,86,0,2.82,0,2
2,Male,5XFAD,45% HFD,B6xBXD19,23.12,NA,84,NA,2.75,NA,1
2,Male,5XFAD,45% HFD,B6xBXD28,30.345,1.229539209080648,86,0,2.82,0,4
2,Male,5XFAD,45% HFD,B6xBXD38,29.454,2.4438760197685956,85.2,6.016643582596529,2.792,0.1956271964732921,5
2,Male,5XFAD,45% HFD,B6xBXD50,29.44333333333333,1.556352573594214,87,0,2.85,0,3
2,Male,5XFAD,45% HFD,B6xBXD55,30.9,0.4525483399593908,91,0,2.98,0,2
2,Male,5XFAD,45% HFD,B6xBXD60,34.86,NA,86,NA,2.82,NA,1
2,Male,5XFAD,45% HFD,B6xBXD61,35.725,0.6293250352560277,86,0,2.82,0,2
2,Male,5XFAD,45% HFD,B6xBXD62,30.814999999999998,3.9527269068328006,86,0,2.82,0,2
2,Male,5XFAD,45% HFD,B6xBXD65,30.64,4.252328773742689,86,0,2.82,0,3
2,Male,5XFAD,45% HFD,B6xBXD66,27.094,2.74903255710077,86,0,2.82,0,5
2,Male,5XFAD,45% HFD,B6xBXD68,29.116666666666667,0.7522189397597843,87.66666666666667,2.886751345948129,2.873333333333333,0.09237604307034021,3
2,Male,5XFAD,45% HFD,B6xBXD73,25.168,2.965142492360191,86,0,2.82,0,5
2,Male,5XFAD,45% HFD,B6xBXD74,25.68,NA,86,NA,2.82,NA,1
2,Male,5XFAD,45% HFD,B6xBXD75,30.06,NA,86,NA,2.82,NA,1
2,Male,5XFAD,45% HFD,B6xBXD77,36.1,1.4707821048680176,86,0,2.82,0,2
2,Male,5XFAD,45% HFD,B6xBXD87,27.24,NA,86,NA,2.82,NA,1
2,Male,5XFAD,45% HFD,B6xBXD99,26.62,0.41000000000000014,86,0,2.82,0,3
2,Male,5XFAD,45% HFD,B6xD2Gpnmb,27.056,1.04834631682474,79,0,2.59,0,5
2,Male,5XFAD,6% Extruded,B6,25.87,NA,79,NA,2.59,NA,1
2,Male,5XFAD,6% Extruded,B6xBXD113,28.325,0.37476659402887097,84,0,2.75,0,2
2,Male,5XFAD,6% Extruded,B6xBXD12,23.494,2.228201068126483,86,0,2.82,0,5
2,Male,5XFAD,6% Extruded,B6xBXD124,31.7525,4.758356684122508,86,0,2.82,0,4
2,Male,5XFAD,6% Extruded,B6xBXD14,28.846,0.9396967595985428,88,2.7386127875258306,2.884,0.08763560920082666,5
2,Male,5XFAD,6% Extruded,B6xBXD152,28.746,0.9810096839481245,85.2,1.0954451150103321,2.792,0.03834057902536154,5
2,Male,5XFAD,6% Extruded,B6xBXD154,24.6875,1.232108626163564,88.5,2.886751345948129,2.9,0.09237604307034021,4
2,Male,5XFAD,6% Extruded,B6xBXD156,25.356666666666666,1.3755120258773927,86,0,2.82,0,3
2,Male,5XFAD,6% Extruded,B6xBXD161,22.93,NA,86,NA,2.82,NA,1
2,Male,5XFAD,6% Extruded,B6xBXD169,24.68,0,82.5,4.949747468305833,2.705,0.1626345596729059,2
2,Male,5XFAD,6% Extruded,B6xBXD19,28.572,2.5329765099581953,88,2.7386127875258306,2.884,0.08763560920082666,5
2,Male,5XFAD,6% Extruded,B6xBXD28,25.1,1.0465180361560906,87,0,2.85,0,2
2,Male,5XFAD,6% Extruded,B6xBXD38,28.84,0.6788225099390862,91,0,2.98,0,2
2,Male,5XFAD,6% Extruded,B6xBXD39,26.5175,1.5131066276593554,85,6.928203230275509,2.785,0.2251666049839541,4
2,Male,5XFAD,6% Extruded,B6xBXD50,25.775,0.31819805153394587,87,0,2.85,0,2
2,Male,5XFAD,6% Extruded,B6xBXD55,28.986666666666668,1.3535631988693146,86,0,2.82,0,3
2,Male,5XFAD,6% Extruded,B6xBXD60,29.700000000000003,2.3617027755414104,86,0,2.82,0,6
2,Male,5XFAD,6% Extruded,B6xBXD61,24.85,2.002473470485938,79,0,2.59,0,5
2,Male,5XFAD,6% Extruded,B6xBXD65,28.99,NA,86,NA,2.82,NA,1
