AgeGrp,Sex,Genotype,Diet,Line,CFC.Baseline_mean,CFC.Baseline_sd,CFC.PS1_mean,CFC.PS1_sd,CFC.PS2_mean,CFC.PS2_sd,CFC.PS3_mean,CFC.PS3_sd,CFC.PS4_mean,CFC.PS4_sd,CFA.Threshold_mean,CFA.Threshold_sd,CFA.Slope_mean,CFA.Slope_sd,CFM.Bin1_mean,CFM.Bin1_sd,CFM.Bin2_mean,CFM.Bin2_sd,CFM.Bin3_mean,CFM.Bin3_sd,CFM.Bin4_mean,CFM.Bin4_sd,CFM.Bin5_mean,CFM.Bin5_sd,CFM.Total_mean,CFM.Total_sd,CFM.Threshold_mean,CFM.Threshold_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
6,Male,Ntg,6% Extruded,B6xBXD161,0.5549999999999999,0.6255055098535447,12.9175,13.01527207333205,33.91625,17.52169425720176,47.832499999999996,13.600268642304721,57.00125,11.955778564001115,13.5875,5.241454950679248,14.61675,6.313487054371324,41.43625,20.55872073389504,42.8775,17.62551539266704,43.597500000000004,20.262703775303887,43.7375,23.97416213343023,41.83125,23.148246732435574,42.68875,15.670717403123938,22.07125,5.889953765280578,181.25,4.949747468305833,5.9425,0.16263455967290624,8
6,Male,Ntg,6% Extruded,B6xBXD169,1.395714285714286,1.6769104243902153,4.7628571428571425,6.246387527431927,19.904285714285713,13.655539605038019,47.142857142857146,21.629264677195813,48.191428571428574,18.153875094656264,14.298571428571428,1.2935664983735033,15.75242857142857,6.726885085415161,52.677142857142854,21.158208583814236,59.61285714285714,18.48131553243772,56.47714285714286,20.228336324972215,41.84285714285714,25.333482267732634,36.15857142857143,17.41303767159484,49.35857142857143,10.557061504938183,17.835714285714285,4.520873282685022,180,3.7416573867739413,5.901428571428571,0.12294017127971545,7
6,Male,Ntg,6% Extruded,B6xBXD172,0.4,0.4676893555912229,4.0025,2.8276418325759245,34,24.62693511855126,42.332499999999996,18.056065232122602,39.5,27.879848158362222,14.585,1.4826215520714208,11.482499999999998,7.595599625221609,26.995,22.240012739804506,46.730000000000004,26.200445288836853,53.05,23.540573484942968,32.815,24.620829257629268,14.445,10.626684964434267,34.815,20.698472568444917,16.630000000000003,1.0613513398807521,202,0,6.62,0,4
6,Male,Ntg,6% Extruded,B6xBXD19,0.77,0.791530163670343,10.89,14.456576358183842,30.555,20.29421764936998,47.111666666666665,16.742220183316988,52.22,24.609206407359014,12.621666666666666,1.9716735700076387,14.054666666666666,8.549179461601367,52.35166666666667,26.562119958065594,57.388333333333335,31.640902905363916,49.815,23.751663310176827,51.87833333333333,26.735338723619467,33.93666666666667,20.662205755114012,49.53333333333333,23.622652405406694,17.30666666666667,11.592490097760132,177.16666666666666,2.857738033247041,5.808333333333333,0.09389710680668867,6
6,Male,Ntg,6% Extruded,B6xBXD197,2.0425,4.085,12.8325,11.214491740600641,29.5,15.193371361660759,44.835,22.71966035544252,46.335,18.07675026103973,11.625,2.4745976103870575,11.584249999999999,7.419843276646752,20.9525,7.100752894353294,34.37,12.974300238034678,33.2025,22.478231506652534,35.365,25.152708932969166,29.945,12.636641167652106,30.8,11.835542516786742,24.919999999999998,5.021281376966108,197,0,6.46,0,4
6,Male,Ntg,6% Extruded,B6xBXD216,1.3325,1.767359141016147,4.335,7.004020274099726,27.4975,6.935336449420941,33.335,9.645878221637814,50,12.774396267534524,8.6,1.1604596790352806,14.283249999999999,4.410321860892542,35.8075,17.677415676506563,30.1575,13.22394135649429,39.0225,26.811801350649056,33.817499999999995,9.690257564516365,28.4425,28.849052410781187,33.432500000000005,17.703653813078628,23.5975,7.843890934988834,176,0,5.77,0,4
6,Male,Ntg,6% Extruded,B6xBXD22,0,NA,0.67,NA,6.67,NA,16,NA,27.33,NA,14.29,NA,8.930999999999997,NA,36.14,NA,29.49,NA,19.96,NA,7.1,NA,18,NA,22.13,NA,22.92,NA,200,NA,6.56,NA,1
6,Male,Ntg,6% Extruded,B6xBXD28,3.71,3.0951944319264615,8.25,11.41487500713746,21.83125,15.647156234098441,44.58375,17.712225751481053,48.58375,21.236351541300927,13.748750000000001,4.057347611784963,14.375374999999998,3.4201504117926897,48.4,20.36049957287745,55.985,22.229231719903026,52.02375,21.818572650382055,40.16125,29.683260524361923,37.695,32.36310421275614,46.845,20.21746274882187,14.775,5.199554926007747,190,6.48074069840786,6.23,0.2129386229476868,8
6,Male,Ntg,6% Extruded,B6xBXD31,5.266666666666667,1.704474503573853,35.336666666666666,13.316656236958787,56,5.206620785115812,67.78,4.438051374195661,77.77666666666667,20.440120678052107,13.213333333333333,0.6434542200757825,13.909999999999998,7.8829554736786385,74.50333333333333,10.564891543850951,88.76666666666667,7.099650226126173,77.67666666666668,7.595935316558014,69.62333333333333,16.35541602446521,66.59333333333333,10.398318774366041,75.40666666666667,8.847244392088047,15.030000000000001,2.2897379762758887,210,0,6.89,0,3
6,Male,Ntg,6% Extruded,B6xBXD32,0,NA,7.28,NA,32.67,NA,65.33,NA,33.33,NA,13.91,NA,11.080999999999996,NA,24.17,NA,47.67,NA,59.87,NA,54.55,NA,43.11,NA,45.82,NA,23,NA,210,NA,6.89,NA,1
6,Male,Ntg,6% Extruded,B6xBXD38,1.9933333333333334,3.477304990937666,13.036666666666667,13.010440038676633,35.111111111111114,23.09503325633265,52.593333333333334,21.756048009691465,57.40777777777778,14.587947746151425,13.145555555555555,3.579790884643652,15.059555555555555,3.6931385064437774,44.74666666666667,28.865199202499888,48.06666666666666,36.73635358878178,48.85444444444444,37.53433665029632,34.14333333333333,35.894118250766375,34.34444444444444,31.045885037759476,42.041111111111114,32.78015994639305,15.83,6.379086925258191,183.33333333333334,3.5355339059327378,6.01,0.11597413504743224,9
6,Male,Ntg,6% Extruded,B6xBXD39,2.914,2.7488597636110867,32.934,17.786561781299948,59.732,27.923092951891988,72.534,10.268192635512834,70.398,21.502165472342547,13.498,1.1225729374967126,12.519400000000001,8.203501526787203,57.828,24.908728791329356,59.955999999999996,25.81082195514122,53.172,18.42394420312871,50.422000000000004,28.95188197682493,51.424,26.799336372380566,54.56,20.740037367372317,14.972,4.815015057089646,183,0,6,0,5
6,Male,Ntg,6% Extruded,B6xBXD44,4.97,NA,30.67,NA,23.33,NA,58,NA,48,NA,14.29,NA,8.665999999999999,NA,42.57,NA,35.92,NA,40.58,NA,35.25,NA,30.44,NA,36.89,NA,26.19,NA,199,NA,6.52,NA,1
6,Male,Ntg,6% Extruded,B6xBXD48a,4.62,6.533666658163699,29.495,30.39852052320968,54,23.574940084759497,55.665,0.47376154339498805,80.33500000000001,14.615897167125938,10.075,0.5727564927611039,15.418499999999998,7.044904860961573,51.11,30.886424202228397,59.09,16.461445866022828,56.21,29.005520164272177,55.099999999999994,8.315575746753797,56.78,18.384776310850235,55.645,17.28876080001109,15.985,1.534421715174808,209,0,6.85,0,2
6,Male,Ntg,6% Extruded,B6xBXD49,0.535,0.7566042558696059,16.665,4.716402230514272,51,5.190163773909261,77,0.46669047558311894,68.67,22.627416997969522,10.605,2.6799347006970144,18.2015,8.675493098377752,66.185,27.44281417784991,70.62,19.289872990769023,59.42,40.13538090014844,65.41,46.725616100807066,53.11,49.34191119119729,62.955,36.55034951953264,13.99,12.20466304327981,199,0,6.52,0,2
