AgeGrp,Sex,Genotype,Diet,Line,NB.Average_mean,NB.Average_sd,IS.Average_mean,IS.Average_sd,GS.Average_mean,GS.Average_sd,Age.Tested.Days_mean,Age.Tested.Days_sd,Age.Tested.Months_mean,Age.Tested.Months_sd,sample.n
14,Male,5XFAD,45% HFD,B6xD2Gpnmb,81.03888888777777,87.00474791339941,46.87222222333333,18.527562751596058,-3.57999999988889,0.23904904178152603,421,10.392304845413264,13.803333333333333,0.3406366588218791,3
14,Male,5XFAD,6% Extruded,B6,90.14000000037036,77.57204862400191,39.48888888592593,33.93530682490711,-3.260370370407407,0.32946271264545907,412.6666666666667,11.916375287812984,13.53111111111111,0.3900462935487415,9
14,Male,5XFAD,6% Extruded,B6xBXD100,36.4566666666667,NA,9.92,NA,-3.58333333333333,NA,427,NA,14,NA,1
14,Male,5XFAD,6% Extruded,B6xBXD113,55.4225,19.077160743596973,13.401666666666658,6.621369725142755,-3.1183333333333323,0.3433333333333318,428.5,13.892443989449804,14.0525,0.4562437214179865,4
14,Male,5XFAD,6% Extruded,B6xBXD12,101.41333333333327,60.122009170242016,8.723888888888888,2.700000342935506,-3.01722222222222,0.3354692677871243,414.5,10.502380682492898,13.591666666666667,0.34516179780889245,6
14,Male,5XFAD,6% Extruded,B6xBXD124,75.53000000083343,43.53415695978791,16.174999999166676,9.077724669532184,-2.852500000166665,0.4477298706077632,414.5,3,13.59,0.10000000000000053,4
14,Male,5XFAD,6% Extruded,B6xBXD125,135.65166666666664,66.96065515576211,76.97666666666684,90.15611460128503,-2.471666666666665,0.011785113019778262,437,0,14.33,0,2
14,Male,5XFAD,6% Extruded,B6xBXD14,131.53,NA,8.34666666666667,NA,-3.44666666666667,NA,433,NA,14.2,NA,1
14,Male,5XFAD,6% Extruded,B6xBXD152,103.40611111055556,45.72159399504951,20.59666666666665,9.767060970425044,-2.8688888888333315,0.30339315641174613,414.8333333333333,5.036533199202271,13.6,0.16321764610482567,6
14,Male,5XFAD,6% Extruded,B6xBXD154,86.57999998666666,35.34036831050623,20.955555553333333,7.376976447483728,-3.132222222333333,0.24134653131192152,425,20.784609690826528,13.933333333333334,0.6812733176437593,3
14,Male,5XFAD,6% Extruded,B6xBXD16,68.82666666666668,65.06284026488032,5.614666666666666,2.3048458613201124,-3.464,0.328493192894127,413,13.47219358530748,13.542,0.4418370740442685,5
14,Male,5XFAD,6% Extruded,B6xBXD161,85.99777777333337,53.535102111196295,33.705925925925925,13.36942082732238,-3.417777777740741,0.2670414034738044,433.77777777777777,19.740679938757037,14.222222222222223,0.6454606451554149,9
14,Male,5XFAD,6% Extruded,B6xBXD169,35.3005555556111,28.407535574831616,38.78222222277778,24.043042761676492,-3.272222222222223,0.54134674308993,423.3333333333333,21.63022576550385,13.879999999999999,0.7078982977801267,6
14,Male,5XFAD,6% Extruded,B6xBXD19,15.8233333333333,NA,8.15666666666667,NA,-3.50666666666667,NA,413,NA,13.54,NA,1
14,Male,5XFAD,6% Extruded,B6xBXD197,175.32666666666665,8.09445077403856,46.30555555555557,32.401482533525716,-3.5100000000000033,0.16041612554021278,419,0,13.74,0,3
14,Male,5XFAD,6% Extruded,B6xBXD28,111.72666667777777,90.3045324383838,25.644444443333335,18.74628921203153,-2.755555555555557,0.23231523933687037,435.6666666666667,19.857828011475306,14.283333333333333,0.6524824390995768,3
14,Male,5XFAD,6% Extruded,B6xBXD31,45.3625,32.59193337745286,17.375,9.402194583886214,-3.3425000000000002,0.22020823478395768,414.5,5,13.5925,0.16500000000000004,4
14,Male,5XFAD,6% Extruded,B6xBXD32,62.57666666666665,17.672955484455752,9.2,0.6222539674441624,-3.14833333333333,0.40305086527633194,423,0,13.87,0,2
14,Male,5XFAD,6% Extruded,B6xBXD34,62.1216666675,33.6026128275772,15.259999999083325,4.7226099183361985,-3.1149999999166678,0.2226523615489716,422,5.830951894845301,13.835,0.19209372712298542,4
14,Male,5XFAD,6% Extruded,B6xBXD38,50.44066666666668,26.26820008214411,7.4106666666,2.239242679551655,-3.156666666599998,0.22990336130160935,406.8,8.07465169527454,13.338000000000001,0.2640454506330298,5
14,Male,5XFAD,6% Extruded,B6xBXD39,19.7025,7.963358389272242,14.99250000075,6.437778186477661,-3.2024999999999997,0.1105667219374799,408,0,13.38,0,4
14,Male,5XFAD,6% Extruded,B6xBXD42,54.207499999999996,44.64641334978656,16.53749999916665,9.203719204982555,-2.9658333335,0.15237320171089663,418.25,9.464847243000456,13.7125,0.3077201109233304,4
14,Male,5XFAD,6% Extruded,B6xBXD48a,20.44,NA,58.53,NA,-3.47,NA,448,NA,14.69,NA,1
14,Male,5XFAD,6% Extruded,B6xBXD49,64.78888888888886,8.300652138592858,5.72888888888889,1.3855377348938616,-3.337777777777777,0.39333804140308654,448,0,14.69,0,3
14,Male,5XFAD,6% Extruded,B6xBXD5,98.76,114.89070980719025,8.928333333333315,4.504270196158287,-3.5300000000000002,0.14613540144521533,419,0,13.74,0,2
14,Male,5XFAD,6% Extruded,B6xBXD50,42.827916666666674,27.64164266688352,27.036250000458324,15.256120337788953,-3.175833333375,0.38374408640839563,420.25,10.361329203202786,13.78,0.3394533420494951,8
14,Male,5XFAD,6% Extruded,B6xBXD55,81.36866666666666,90.10359582783828,18.505333332,3.673627180057425,-3.059333333333334,0.30712284905772275,423.4,25.50098037331114,13.882,0.8350269456730124,5
14,Male,5XFAD,6% Extruded,B6xBXD60,105.94523809523804,80.69380720782183,14.307619048142863,11.5624639693751,-3.2690476190476185,0.1492042384565063,420.14285714285717,9.063269671749657,13.774285714285714,0.299491632763318,7
14,Male,5XFAD,6% Extruded,B6xBXD61,118.19266666666667,77.96904387141235,14.74666666666666,9.777942296595716,-3.102666666600002,0.3569578251985039,423.4,9.316651759081692,13.882,0.3076849037570742,5
14,Male,5XFAD,6% Extruded,B6xBXD65,78.23333331500001,81.7839702908229,8.1466666665,1.013519719465016,-3.0700000000000003,0.20741798961945856,423,0,13.87,0,2
14,Male,5XFAD,6% Extruded,B6xBXD66,76.36466666666666,52.224665873086785,12.995333333333335,8.681899625721961,-3.126666666666666,0.10055402085999009,419.4,19.243180610283737,13.752,0.6334192924122218,5
14,Male,5XFAD,6% Extruded,B6xBXD68,115.62533333333334,88.39694117382618,30.52666666733334,14.916840036612976,-3.3080000000000003,0.648033778285001,417.2,15.53061492665374,13.68,0.5086747487343952,5
14,Male,5XFAD,6% Extruded,B6xBXD73,51.724,31.72448225652302,15.772666666666675,7.378239175666056,-3.066666666666666,0.4699349836827315,409.6,1.3416407864998738,13.43,0.044721359549995635,5
14,Male,5XFAD,6% Extruded,B6xBXD74,24.703333333333333,24.76675661715384,29.835555555555533,15.213013556869047,-2.89222222222222,0.6790216273215225,418.6666666666667,18.502252115170556,13.726666666666667,0.6101092798288952,3
14,Male,5XFAD,6% Extruded,B6xBXD75,83.35733333333334,61.101127985587226,22.942000000000004,14.806468668944829,-3.102,0.23835780760118747,419.4,26.26404386228442,13.752,0.8614058277025988,5
14,Male,5XFAD,6% Extruded,B6xBXD77,150.85333333333332,50.48350753794087,37.9577777777778,4.675781970647998,-2.8322222222222235,0.37511973397145637,403,0,13.21,0,3
14,Male,5XFAD,6% Extruded,B6xBXD78,54.109999999166675,35.79899698511553,10.557500000083342,1.7487463763386588,-3.4091666665833325,0.13942673645442952,433.5,7.505553499465135,14.215,0.24826061575153893,4
14,Male,5XFAD,6% Extruded,B6xBXD81,106.38583333333332,85.58510723575426,30.699166666666677,12.362386014154533,-2.94916666666667,0.34364468083569494,412,0,13.51,0,4
14,Male,5XFAD,6% Extruded,B6xBXD83,129.13333333266667,72.30791196967822,26.66200000066668,9.058006770527633,-3.0406666666,0.5037106752614375,417.2,14.889593681494468,13.678,0.48812908128895577,5
14,Male,5XFAD,6% Extruded,B6xBXD87,43.21,8.046875169902908,3.6866666666666648,0.11785113019776033,-2.70666666666667,1.0323759005323596,446,0,14.62,0,2
14,Male,5XFAD,6% Extruded,B6xBXD99,23.717333333333347,36.39835003891737,43.938,50.15517734436241,-2.817333333333332,0.5483176289544439,421.4,22.456624857711812,13.815999999999999,0.7339482270569225,5
14,Male,5XFAD,6% Extruded,B6xD2Gpnmb,76.92102564153846,55.55187822919687,32.94564102615385,14.196922944061713,-3.068461538410257,0.3346961458000027,418.61538461538464,10.153311951759564,13.727692307692308,0.33322049372134555,13
14,Male,Ntg,45% HFD,B6,81.52777777666667,85.2882917813637,10.012222222222224,2.634435071917345,-2.96888888888889,0.15399615223307453,429.3333333333333,14.433756729740644,14.073333333333334,0.47342722073549226,3
14,Male,Ntg,45% HFD,B6xBXD113,112.1793333333334,43.23284890502183,13.14666666666666,4.24359059183507,-3.316666666666666,0.30945292228562093,418.8,14.788509052639485,13.732000000000001,0.48199585060454564,5
14,Male,Ntg,45% HFD,B6xBXD12,17.8233333333333,NA,2.82333333333333,NA,-2.75333333333333,NA,408,NA,13.38,NA,1
14,Male,Ntg,45% HFD,B6xBXD124,107.43000000416667,67.98331378064323,13.980000000416663,8.593052010597022,-3.4924999999999997,0.12656324089071885,426,22.58317958127243,13.96625,0.7406934492178834,8
14,Male,Ntg,45% HFD,B6xBXD125,150.29333333388882,46.54266806938828,13.858333332777784,3.3008986997897036,-3.300555555555555,0.27699511952272216,412.6666666666667,10.327955589886445,13.530000000000001,0.34082253446625277,6
14,Male,Ntg,45% HFD,B6xBXD14,106.58333333333334,103.8268457042247,11.623333333333335,7.872455497210227,-2.1683333333333348,1.3977144041454113,405,0,13.28,0,2
14,Male,Ntg,45% HFD,B6xBXD152,145.30416666666656,50.65032889915517,18.453333333416673,9.902675283744568,-2.9525000000833326,0.3808992771793361,425,9.38083151964686,13.9375,0.30772011092332996,4
14,Male,Ntg,45% HFD,B6xBXD154,123.9888888888889,97.0140902328301,23.503333333333334,3.841858635839938,-3.10777777777778,0.4146529115260569,413.6666666666667,7.571877794400365,13.563333333333333,0.2478574859336178,3
14,Male,Ntg,45% HFD,B6xBXD16,149.80416666666676,36.40408741550256,9.990833333333317,2.75126822608261,-3.391666666666665,0.3726829652567896,410.75,23.5,13.465,0.7699999999999996,4
14,Male,Ntg,45% HFD,B6xBXD169,130.51944445,63.86875203316663,24.303333333888883,5.997204533170447,-3.0150000000000015,0.2907060370890148,415.8333333333333,23.532247378154654,13.635,0.7697986749793742,6
14,Male,Ntg,45% HFD,B6xBXD19,124.343333333333,NA,3.98,NA,-3.85333333333333,NA,419,NA,13.74,NA,1
14,Male,Ntg,45% HFD,B6xBXD28,120.46266666666659,53.681374868549945,20.81800000000002,6.515497167011387,-3.166666666666666,0.30729103107278916,423.6,5.366563145999495,13.89,0.17888543819998334,5
14,Male,Ntg,45% HFD,B6xBXD31,104.07133334,23.408902943668373,17.522666666,8.814177468626534,-3.562666666733334,0.12376949900072134,416.8,3.3466401061363023,13.666,0.10876580344942963,5
14,Male,Ntg,45% HFD,B6xBXD32,101.29333335666666,52.1419853388326,16.457777776666667,5.1639092976269945,-3.348888889,0.2820231143239203,428.3333333333333,11.547005383792516,14.043333333333333,0.3752776749732569,3
14,Male,Ntg,45% HFD,B6xBXD34,102.16777778,72.11479970697829,21.70111111,8.691895543446503,-3.111111111,0.22642961450076035,422.3333333333333,9.237604307034012,13.846666666666666,0.3059956426705013,3
14,Male,Ntg,45% HFD,B6xBXD38,140.0725,49.299957657182624,10.155000000000001,7.382265285177765,-2.889166666666665,0.7305876630037846,416,16.492422502470642,13.64,0.5416641025580341,4
14,Male,Ntg,45% HFD,B6xBXD39,144.9,30.63367718754784,13.530000002333333,3.7420627126016117,-3.1133333333333333,0.46192832537334433,435,10.392304845413264,14.263333333333334,0.34063665882188016,3
14,Male,Ntg,45% HFD,B6xBXD42,91.415000015,37.818427706387766,16.071666665000002,4.216713436118757,-3.1566666665,0.23570226015981335,433,0,14.2,0,2
14,Male,Ntg,45% HFD,B6xBXD48a,152.6766666666665,38.64102856924111,12.34,0.6411101482757551,-3.426666666666665,0.009428090415818338,410,4.242640687119285,13.44,0.141421356237309,2
14,Male,Ntg,45% HFD,B6xBXD49,46.86555555555557,27.13575016536372,7.70000000000001,2.2790738859848005,-3.0044444444444465,0.5130121650423919,422,6.928203230275509,13.833333333333332,0.23094010767585052,3
14,Male,Ntg,45% HFD,B6xBXD50,141.27250000000004,55.1904717089854,15.160416666666663,6.366474052808142,-3.345000000000001,0.33185864269318116,419.25,9.72111104761179,13.74625,0.3200418499419816,8
14,Male,Ntg,45% HFD,B6xBXD55,47.6986111111111,42.743424061052515,14.806111111666661,7.160212728065753,-3.3205555555,0.31017139815687783,416.3333333333333,14.665151436881471,13.651666666666667,0.47864043567866915,6
14,Male,Ntg,45% HFD,B6xBXD60,151.84095238095227,37.33942513365966,25.577619047142868,13.510147450176515,-3.2795238094285715,0.18228415512600207,426.42857142857144,17.154757774032085,13.982857142857142,0.5636108079669367,7
14,Male,Ntg,45% HFD,B6xBXD61,180,NA,15.51,NA,-3.386666667,NA,441,NA,14.46,NA,1
14,Male,Ntg,45% HFD,B6xBXD62,149.20777777777778,53.33369336684034,14.358888888777766,10.954893545608947,-3.145555555666667,0.4419946373162193,416.3333333333333,17.897858344878397,13.65,0.588897274573418,3
14,Male,Ntg,45% HFD,B6xBXD65,105.02466666666666,48.921838772565465,13.889999999999986,5.706260207487511,-3.1366666666666663,0.43525854385640467,415.8,24.68197723035981,13.634,0.8097406992364896,5
14,Male,Ntg,45% HFD,B6xBXD66,131.1588888888889,45.68052762067993,26.975555555555566,1.1230035783723127,-3.0433333333333334,0.6333070169971124,409,0,13.41,0,3
14,Male,Ntg,45% HFD,B6xBXD68,90.58666666666672,63.66896256767855,18.81533333333336,3.81726458198654,-2.957333333333334,1.2529063989159162,409.6,17.386776584519627,13.43,0.5722761571129797,5
14,Male,Ntg,45% HFD,B6xBXD73,19.946666666666655,12.280681079556526,16.396666666666665,11.275542608278812,-3.050000000066666,0.30802236575269887,426.6,13.501851724856113,13.988,0.4450505589256127,5
14,Male,Ntg,45% HFD,B6xBXD74,180,0,37.72250000175,31.75929264715243,-2.87,0.4784310778498744,419.25,3.5,13.7425,0.11500000000000021,4
14,Male,Ntg,45% HFD,B6xBXD75,158.71466666666666,47.59545225707554,21.0646666666,8.799623287511821,-2.636,0.16607227342335032,422.6,18.10524785801067,13.858,0.5941127839055477,5
14,Male,Ntg,45% HFD,B6xBXD77,137.91083333333341,48.99442095034138,23.43083333333335,4.673941452746662,-3.065,0.10850840554571835,428.25,17.651723239767083,14.04,0.5787918451395118,4
14,Male,Ntg,45% HFD,B6xBXD78,180,0,11.586666665,0.43369215677072753,-3.33,0.09428090462961088,427,0,14,0,2
14,Male,Ntg,45% HFD,B6xBXD83,180,0,22.3833333333333,9.178246019801387,-3.4699999999999998,0.2687005768508883,399,0,13.08,0,2
14,Male,Ntg,45% HFD,B6xBXD87,120.75777777777778,63.81852241287763,25.549999999999983,10.094086057357229,-3.27,0.1694566480122753,419.5,14.707141122597553,13.754999999999999,0.48119642558938486,6
14,Male,Ntg,45% HFD,B6xBXD99,180,NA,30.0066666666667,NA,-3.54333333333333,NA,402,NA,13.18,NA,1
14,Male,Ntg,45% HFD,B6xD2Gpnmb,127.04833333333339,67.747734287658,28.169444445,7.481146500276509,-3.6327777778333332,0.42440764813447734,417,6.928203230275509,13.673333333333334,0.22747893675386005,6
14,Male,Ntg,6% Extruded,B6,59.183333333703715,56.459727264730596,15.662592592222222,8.503090414778383,-2.903703703629628,0.8117410034776187,410.3333333333333,9.096702699330127,13.455555555555556,0.29891934995543123,9
14,Male,Ntg,6% Extruded,B6xBXD100,69.9583333333334,45.56763442847809,18.82250000000001,13.714302179085157,-3.1533333333333324,0.2619725741936179,427,0,14,0,4
14,Male,Ntg,6% Extruded,B6xBXD113,72.7891666666666,47.62841342875836,15.395833333333314,9.372994452148134,-2.9124999999999974,0.4947305664028999,426,16.165807537309522,13.969999999999999,0.5311622476544556,4
14,Male,Ntg,6% Extruded,B6xBXD12,40.096190476190515,33.97485712114363,8.372857142857145,5.772728486590564,-2.9990476190476185,0.34152010019320905,411,9.219544457292887,13.475714285714286,0.30226131866632355,7
14,Male,Ntg,6% Extruded,B6xBXD124,41.68444444444443,14.63768285143721,8.591111111111113,0.5162292054820158,-3.2033333333333367,0.2281081614790082,417,3.4641016151377544,13.673333333333334,0.11547005383792576,3
14,Male,Ntg,6% Extruded,B6xBXD125,104.78555555555556,85.14353269191534,24.441111111111102,9.660452217005018,-2.87777777777778,0.16604327860642257,420.3333333333333,14.433756729740644,13.783333333333333,0.4734272207354933,3
14,Male,Ntg,6% Extruded,B6xBXD152,99.77380952380953,30.032969255936756,17.9847619047619,10.042735692290753,-2.849999999904763,0.1980460104238779,415.7142857142857,4.680252333449758,13.628571428571428,0.15269016246728467,7
14,Male,Ntg,6% Extruded,B6xBXD154,40.77444444333334,34.355588955251946,15.424444446666667,1.6519225596345708,-2.9977777776666668,0.3862977164897369,425,20.784609690826528,13.933333333333334,0.6812733176437593,3
14,Male,Ntg,6% Extruded,B6xBXD16,86.32333333333332,71.06615353160588,11.945833333333319,2.997352381068379,-3.4341666666666675,0.13519190749394674,424.5,15.716233645501712,13.92,0.5158165048412728,4
14,Male,Ntg,6% Extruded,B6xBXD161,97.61400000100002,61.29970454432174,17.34566666733333,5.525070146134803,-2.963666666733333,0.7927113185579141,430,21.888606879176002,14.098,0.7160508982529727,10
14,Male,Ntg,6% Extruded,B6xBXD169,89.73333333399994,59.89127686339302,13.021333332666659,3.3321519571712135,-3.149999999933332,0.47792956249616725,422.6,24.099792530227308,13.856,0.7887204828074399,5
14,Male,Ntg,6% Extruded,B6xBXD19,106.49888888888887,63.67000255949365,14.468888888888866,0.7752156211398441,-2.89,0.3351119216023208,413,0,13.54,0,3
14,Male,Ntg,6% Extruded,B6xBXD197,78.82499999999992,23.466050260212317,13.712500000000016,3.8928827507531105,-3.3200000000000003,0.4761496807922068,419,0,13.74,0,4
14,Male,Ntg,6% Extruded,B6xBXD216,56.37875000000004,35.819429636499436,10.607083333333328,3.2970311019615175,-3.46875,0.22588055208344865,420,0,13.77,0,8
14,Male,Ntg,6% Extruded,B6xBXD28,60.66199999866668,22.659217720969668,16.041333333266675,11.578907692658673,-2.544,0.15787477458416166,428,21.130546609115438,14.032,0.6931954991198366,5
14,Male,Ntg,6% Extruded,B6xBXD31,88.355999998,53.54259920974977,12.906666666800001,4.393450302583507,-3.2733333332,0.37669616420487584,416,5.477225575051661,13.642,0.18074844397670484,5
14,Male,Ntg,6% Extruded,B6xBXD32,77.80833333333335,0.2427733282073615,19.61166666666665,10.674955373312935,-3.673333333333335,0.09428090415820412,423,0,13.87,0,2
